Contest, Problem, Difficulty, Name, Codeforces URL
1426, A, 800, Floor Number, https://codeforces.com/problemset/problem/1426/A
1428, A, 800, Box is Pull, https://codeforces.com/problemset/problem/1428/A
1430, B, 800, Barrels, https://codeforces.com/problemset/problem/1430/B
1433, A, 800, Boring Apartments, https://codeforces.com/problemset/problem/1433/A
1433, B, 800, Yet Another Bookshelf, https://codeforces.com/problemset/problem/1433/B
1435, A, 800, Finding Sasuke, https://codeforces.com/problemset/problem/1435/A
1436, A, 800, Reorder, https://codeforces.com/problemset/problem/1436/A
1437, A, 800, Marketing Scheme, https://codeforces.com/problemset/problem/1437/A
1437, A, 800, Marketing Scheme, https://codeforces.com/problemset/problem/1437/A
1437, A, 800, Marketing Scheme, https://codeforces.com/problemset/problem/1437/A
1438, A, 800, Specific Tastes of Andre , https://codeforces.com/problemset/problem/1438/A
1440, A, 800, Buy the String, https://codeforces.com/problemset/problem/1440/A
1443, A, 800, Kids Seating, https://codeforces.com/problemset/problem/1443/A
1445, A, 800, Array Rearrangment, https://codeforces.com/problemset/problem/1445/A
1447, A, 800, Add Candies, https://codeforces.com/problemset/problem/1447/A
1450, A, 800, Avoid Trygub, https://codeforces.com/problemset/problem/1450/A
1451, A, 800, Subtract or Divide, https://codeforces.com/problemset/problem/1451/A
1452, A, 800, Robot Program, https://codeforces.com/problemset/problem/1452/A
1452, C, 800, Two Brackets, https://codeforces.com/problemset/problem/1452/C
1453, A, 800, Cancel the Trains, https://codeforces.com/problemset/problem/1453/A
1454, A, 800, Special Permutation, https://codeforces.com/problemset/problem/1454/A
1454, B, 800, Unique Bid Auction, https://codeforces.com/problemset/problem/1454/B
1455, A, 800, Strange Functions, https://codeforces.com/problemset/problem/1455/A
1457, A, 800, Prison Break, https://codeforces.com/problemset/problem/1457/A
1459, A, 800, Red-Blue Shuffle, https://codeforces.com/problemset/problem/1459/A
1461, A, 800, String Generation, https://codeforces.com/problemset/problem/1461/A
1462, A, 800, Favorite Sequence, https://codeforces.com/problemset/problem/1462/A
1462, B, 800, Last Year's Substring, https://codeforces.com/problemset/problem/1462/B
1465, A, 800, In-game Chat, https://codeforces.com/problemset/problem/1465/A
1466, A, 800, Bovine Dilemma, https://codeforces.com/problemset/problem/1466/A
1466, B, 800, Last minute enhancements, https://codeforces.com/problemset/problem/1466/B
1468, E, 800, Four Segments, https://codeforces.com/problemset/problem/1468/E
1472, A, 800, Cards for Friends, https://codeforces.com/problemset/problem/1472/A
1472, B, 800, Fair Division, https://codeforces.com/problemset/problem/1472/B
1473, A, 800, Replacing Elements, https://codeforces.com/problemset/problem/1473/A
1474, A, 800, Puzzle From the Future, https://codeforces.com/problemset/problem/1474/A
1478, A, 800, Nezzar and Colorful Balls, https://codeforces.com/problemset/problem/1478/A
1480, A, 800, Yet Another String Game, https://codeforces.com/problemset/problem/1480/A
1481, A, 800, Space Navigation , https://codeforces.com/problemset/problem/1481/A
1484, A, 800, Prison Break, https://codeforces.com/problemset/problem/1484/A
