Contest,  Problem,  Difficulty,  Name,  Codeforces URL
1809,  B,  1000,  Points on Plane,  https://codeforces.com/problemset/problem/1809/B
1809,  B,  1000,  Points on Plane,  https://codeforces.com/problemset/problem/1809/B
1811,  B,  1000,  Conveyor Belts,  https://codeforces.com/problemset/problem/1811/B
230,  A,  1000,  Dragons,  https://codeforces.com/problemset/problem/230/A
265,  B,  1000,  Roadside Trees (Simplified Edition),  https://codeforces.com/problemset/problem/265/B
339,  B,  1000,  Xenia and Ringroad,  https://codeforces.com/problemset/problem/339/B
35,  A,  1000,  Shell Game,  https://codeforces.com/problemset/problem/35/A
359,  A,  1000,  Table,  https://codeforces.com/problemset/problem/359/A
385,  A,  1000,  Bear and Raspberry,  https://codeforces.com/problemset/problem/385/A
389,  A,  1000,  Fox and Number Game,  https://codeforces.com/problemset/problem/389/A
404,  A,  1000,  Valera and X,  https://codeforces.com/problemset/problem/404/A
43,  A,  1000,  Football,  https://codeforces.com/problemset/problem/43/A
441,  A,  1000,  Valera and Antique Items,  https://codeforces.com/problemset/problem/441/A
447,  B,  1000,  DZY Loves Strings,  https://codeforces.com/problemset/problem/447/B
447,  B,  1000,  DZY Loves Strings,  https://codeforces.com/problemset/problem/447/B
447,  B,  1000,  DZY Loves Strings,  https://codeforces.com/problemset/problem/447/B
462,  A,  1000,  Appleman and Easy Task,  https://codeforces.com/problemset/problem/462/A
476,  A,  1000,  Dreamoon and Stairs,  https://codeforces.com/problemset/problem/476/A
479,  A,  1000,  Expression,  https://codeforces.com/problemset/problem/479/A
499,  A,  1000,  Watching a movie,  https://codeforces.com/problemset/problem/499/A
499,  B,  1000,  Lecture,  https://codeforces.com/problemset/problem/499/B
499,  B,  1000,  Lecture,  https://codeforces.com/problemset/problem/499/B
56,  A,  1000,  Bar,  https://codeforces.com/problemset/problem/56/A
58,  A,  1000,  Chat room,  https://codeforces.com/problemset/problem/58/A
69,  A,  1000,  Young Physicist,  https://codeforces.com/problemset/problem/69/A
75,  A,  1000,  Life Without Zeros,  https://codeforces.com/problemset/problem/75/A
1692,  D,  1100,  The Clock,  https://codeforces.com/problemset/problem/1692/D
1807,  G1,  1100,  Subsequence Addition (Easy Version),  https://codeforces.com/problemset/problem/1807/G1
1807,  G2,  1100,  Subsequence Addition (Hard Version),  https://codeforces.com/problemset/problem/1807/G2
1811,  C,  1100,  Restore the Array,  https://codeforces.com/problemset/problem/1811/C
1811,  C,  1100,  Restore the Array,  https://codeforces.com/problemset/problem/1811/C
186,  A,  1100,  Comparing Strings,  https://codeforces.com/problemset/problem/186/A
224,  A,  1100,  Parallelepiped,  https://codeforces.com/problemset/problem/224/A
257,  A,  1100,  Sockets,  https://codeforces.com/problemset/problem/257/A
259,  B,  1100,  Little Elephant and Magic Square,  https://codeforces.com/problemset/problem/259/B
259,  B,  1100,  Little Elephant and Magic Square,  https://codeforces.com/problemset/problem/259/B
296,  A,  1100,  Yaroslav and Permutations,  https://codeforces.com/problemset/problem/296/A
300,  A,  1100,  Array,  https://codeforces.com/problemset/problem/300/A
355,  A,  1100,  Vasya and Digital Root,  https://codeforces.com/problemset/problem/355/A
362,  B,  1100,  Petya and Staircases,  https://codeforces.com/problemset/problem/362/B
370,  A,  1100,  Rook, Bishop and King,  https://codeforces.com/problemset/problem/370/A
456,  A,  1100,  Laptops,  https://codeforces.com/problemset/problem/456/A
467,  B,  1100,  Fedor and New Game,  https://codeforces.com/problemset/problem/467/B
483,  A,  1100,  Counterexample ,  https://codeforces.com/problemset/problem/483/A
1000,  A,  1200,  Codehorses T-shirts,  https://codeforces.com/problemset/problem/1000/A
1006,  B,  1200,  Polycarp's Practice,  https://codeforces.com/problemset/problem/1006/B
1006,  C,  1200,  Three Parts of the Array,  https://codeforces.com/problemset/problem/1006/C
1006,  C,  1200,  Three Parts of the Array,  https://codeforces.com/problemset/problem/1006/C
1011,  B,  1200,  Planning The Expedition,  https://codeforces.com/problemset/problem/1011/B
1011,  B,  1200,  Planning The Expedition,  https://codeforces.com/problemset/problem/1011/B
1013,  B,  1200,  And,  https://codeforces.com/problemset/problem/1013/B
1015,  B,  1200,  Obtaining the String,  https://codeforces.com/problemset/problem/1015/B
1017,  B,  1200,  The Bits,  https://codeforces.com/problemset/problem/1017/B
1023,  A,  1200,  Single Wildcard Pattern Matching,  https://codeforces.com/problemset/problem/1023/A
1023,  A,  1200,  Single Wildcard Pattern Matching,  https://codeforces.com/problemset/problem/1023/A
1023,  C,  1200,  Bracket Subsequence,  https://codeforces.com/problemset/problem/1023/C
1027,  B,  1200,  Numbers on the Chessboard,  https://codeforces.com/problemset/problem/1027/B
1027,  B,  1200,  Numbers on the Chessboard,  https://codeforces.com/problemset/problem/1027/B
1028,  B,  1200,  Unnatural Conditions,  https://codeforces.com/problemset/problem/1028/B
1029,  B,  1200,  Creating the Contest,  https://codeforces.com/problemset/problem/1029/B
1029,  B,  1200,  Creating the Contest,  https://codeforces.com/problemset/problem/1029/B
1029,  B,  1200,  Creating the Contest,  https://codeforces.com/problemset/problem/1029/B
1029,  B,  1200,  Creating the Contest,  https://codeforces.com/problemset/problem/1029/B
1029,  B,  1200,  Creating the Contest,  https://codeforces.com/problemset/problem/1029/B
1032,  B,  1200,  Personalized Cup,  https://codeforces.com/problemset/problem/1032/B
1042,  B,  1200,  Vitamins,  https://codeforces.com/problemset/problem/1042/B
1043,  B,  1200,  Lost Array,  https://codeforces.com/problemset/problem/1043/B
1051,  A,  1200,  Vasya And Password,  https://codeforces.com/problemset/problem/1051/A
1051,  A,  1200,  Vasya And Password,  https://codeforces.com/problemset/problem/1051/A
1064,  B,  1200,  Equations of Mathematical Magic,  https://codeforces.com/problemset/problem/1064/B
1068,  B,  1200,  LCM,  https://codeforces.com/problemset/problem/1068/B
1075,  B,  1200,  Taxi drivers and Lyft,  https://codeforces.com/problemset/problem/1075/B
1075,  B,  1200,  Taxi drivers and Lyft,  https://codeforces.com/problemset/problem/1075/B
1076,  A,  1200,  Minimizing the String,  https://codeforces.com/problemset/problem/1076/A
1076,  B,  1200,  Divisor Subtraction,  https://codeforces.com/problemset/problem/1076/B
1082,  A,  1200,  Vasya and Book,  https://codeforces.com/problemset/problem/1082/A
1084,  B,  1200,  Kvass and the Fair Nut,  https://codeforces.com/problemset/problem/1084/B
1091,  B,  1200,  New Year and the Treasure Geolocation,  https://codeforces.com/problemset/problem/1091/B
1097,  B,  1200,  Petr and a Combination Lock,  https://codeforces.com/problemset/problem/1097/B
1097,  B,  1200,  Petr and a Combination Lock,  https://codeforces.com/problemset/problem/1097/B
1099,  C,  1200,  Postcard,  https://codeforces.com/problemset/problem/1099/C
1099,  C,  1200,  Postcard,  https://codeforces.com/problemset/problem/1099/C
1100,  C,  1200,  NN and the Optical Illusion,  https://codeforces.com/problemset/problem/1100/C
1102,  C,  1200,  Doors Breaking and Repairing,  https://codeforces.com/problemset/problem/1102/C
1104,  B,  1200,  Game with string,  https://codeforces.com/problemset/problem/1104/B
1104,  B,  1200,  Game with string,  https://codeforces.com/problemset/problem/1104/B
