Contest,  Problem,  Difficulty,  Name,  Codeforces URL
1352,  A,  800,  Sum of Round Numbers,  https://codeforces.com/problemset/problem/1352/A
1353,  A,  800,  Most Unstable Array,  https://codeforces.com/problemset/problem/1353/A
1353,  B,  800,  Two Arrays And Swaps,  https://codeforces.com/problemset/problem/1353/B
1358,  A,  800,  Park Lighting,  https://codeforces.com/problemset/problem/1358/A
1360,  A,  800,  Minimal Square,  https://codeforces.com/problemset/problem/1360/A
1360,  B,  800,  Honest Coach,  https://codeforces.com/problemset/problem/1360/B
1367,  A,  800,  Short Substrings,  https://codeforces.com/problemset/problem/1367/A
1367,  B,  800,  Even Array,  https://codeforces.com/problemset/problem/1367/B
1368,  A,  800,  C+=,  https://codeforces.com/problemset/problem/1368/A
1369,  A,  800,  FashionabLee,  https://codeforces.com/problemset/problem/1369/A
1370,  A,  800,  Maximum GCD,  https://codeforces.com/problemset/problem/1370/A
1371,  A,  800,  Magical Sticks,  https://codeforces.com/problemset/problem/1371/A
1372,  A,  800,  Omkar and Completion,  https://codeforces.com/problemset/problem/1372/A
1374,  A,  800,  Required Remainder,  https://codeforces.com/problemset/problem/1374/A
1382,  A,  800,  Common Subsequence,  https://codeforces.com/problemset/problem/1382/A
1385,  A,  800,  Three Pairwise Maximums,  https://codeforces.com/problemset/problem/1385/A
1385,  B,  800,  Restore the Permutation by Merger,  https://codeforces.com/problemset/problem/1385/B
1388,  A,  800,  Captain Flint and Crew Recruitment,  https://codeforces.com/problemset/problem/1388/A
1389,  A,  800,  LCM Problem,  https://codeforces.com/problemset/problem/1389/A
1391,  A,  800,  Suborrays,  https://codeforces.com/problemset/problem/1391/A
1391,  A,  800,  Suborrays,  https://codeforces.com/problemset/problem/1391/A
1391,  B,  800,  Fix You,  https://codeforces.com/problemset/problem/1391/B
1392,  A,  800,  Omkar and Password,  https://codeforces.com/problemset/problem/1392/A
1392,  B,  800,  Omkar and Infinity Clock,  https://codeforces.com/problemset/problem/1392/B
1393,  A,  800,  Rainbow Dash, Fluttershy and Chess Coloring,  https://codeforces.com/problemset/problem/1393/A
1397,  A,  800,  Juggling Letters,  https://codeforces.com/problemset/problem/1397/A
1398,  A,  800,  Bad Triangle,  https://codeforces.com/problemset/problem/1398/A
1398,  B,  800,  Substring Removal Game,  https://codeforces.com/problemset/problem/1398/B
1399,  A,  800,  Remove Smallest,  https://codeforces.com/problemset/problem/1399/A
